keys,it,en
UI_CLOSE,Chiudi,Close
UI_CANCEL,Annulla,Cancel
UI_GOT_IT,Ho capito,Got it
UI_LOGIN,Accedi,Log in
SETTINGS_TITLE,IMPOSTAZIONI,SETTINGS
SETTINGS_SFX_VOLUME,Volume effetti,Sound volume
SETTINGS_MUSIC_VOLUME,Volume musica,Music volume
SETTINGS_LANGUAGE,Lingua,Language
SETTINGS_ACCOUNT,Account,Account
SETTINGS_CONNECTED_AS,Connesso come %s,Signed in as %s
SETTINGS_LOGOUT,Esci dall'account,Log out
SETTINGS_DELETE_ACCOUNT,Elimina account,Delete account
SETTINGS_GUEST,Stai giocando come ospite,You are playing as a guest
SETTINGS_NO_ACCOUNT,Nessun account collegato,No account linked
SETTINGS_CREDITS_BUTTON,Riconoscimenti,Credits
SETTINGS_CREDITS_TITLE,RICONOSCIMENTI,CREDITS
SETTINGS_CREDITS_DESIGNERS,Direttore Creativo,Creative Director
SETTINGS_CREDITS_DEVELOPERS,Sviluppatori,Developers
SETTINGS_CREDITS_DESIGN,Designer,Designers
SETTINGS_CREDITS_MUSIC,Colonna sonora,Soundtrack
SETTINGS_CREDITS_TRIMMED_45S,Modificato: tagliato ai primi 45 secondi.,Modified: trimmed to the first 45 seconds.
SETTINGS_CREDITS_TRIMMED_LOOP,Modificato: accorciato per il loop.,Modified: shortened for the loop.
SETTINGS_DELETE_ACCOUNT_BODY,"Questa azione è irreversibile: profilo, statistiche e civiltà sbloccate verranno cancellati dal server.

Il single-player resta disponibile come ospite.","This action is irreversible: profile, stats and unlocked civilizations will be deleted from the server.

Single-player remains available as a guest."
SETTINGS_DELETE_ACCOUNT_CONFIRM,Elimina,Delete
SETTINGS_DELETE_ACCOUNT_FAILED,Eliminazione non riuscita. Riprova più tardi.,Deletion failed. Please try again later.
SETTINGS_ACCOUNT_DELETED_TITLE,Account eliminato,Account deleted
SETTINGS_ACCOUNT_DELETED_BODY,"Il tuo account è stato cancellato dal server.

Torni alla schermata iniziale, dove puoi crearne uno nuovo o giocare come ospite.","Your account has been deleted from the server.

You are back at the start screen, where you can create a new one or play as a guest."
LOGIN_REASON_EMAIL_TAKEN,Questa email è già registrata. Prova ad accedere.,This email is already registered. Try logging in instead.
LOGIN_REASON_INVALID_CREDENTIALS,Email o password non corretti.,Incorrect email or password.
LOGIN_REASON_INVALID,Controlla email e password.,Check your email and password.
LOGIN_REASON_RATE_LIMITED,Troppi tentativi. Riprova tra qualche minuto.,Too many attempts. Try again in a few minutes.
LOGIN_REASON_DB,"Servizio non disponibile, riprova più tardi.","Service unavailable, please try again later."
LOGIN_REASON_GOOGLE,Accesso con Google non riuscito.,Google sign-in failed.
LOGIN_REASON_EXPIRED,L'accesso con Google è scaduto. Riprova.,The Google sign-in expired. Please try again.
LOGIN_REASON_DENIED,Accesso con Google annullato.,Google sign-in cancelled.
LOGIN_FAILED,Accesso non riuscito.,Sign-in failed.
LOGIN_GOOGLE,Continua con Google,Continue with Google
LOGIN_GOOGLE_WAITING,In attesa di Google — annulla,Waiting for Google — cancel
LOGIN_RESTORING,Accesso in corso…,Signing in…
LOGIN_TITLE,ACCEDI,LOG IN
LOGIN_EMAIL,Email,Email
LOGIN_PASSWORD,Password,Password
LOGIN_GO_SIGNUP,Non hai un account? Registrati,Don't have an account? Sign up
LOGIN_OR,oppure,or
LOGIN_SIGNUP_TITLE,CREA ACCOUNT,CREATE ACCOUNT
LOGIN_USERNAME,Nome giocatore,Player name
LOGIN_PASSWORD_MIN8,Password (almeno 8 caratteri),Password (at least 8 characters)
